PlotNumber,SiteUnit,bgc
966723,SWB mk   /02,SWB mk
966713,BWBSdk   /Wf08,BWBSdk
966694,BWBSdk   /Fl03,BWBSdk
966693,BWBSdk   /Wf05,BWBSdk
966692,BWBSdk   /Wb09,BWBSdk
966656,BWBSdk   /Wm01,BWBSdk
966648,BWBSdk   /101,BWBSdk
966625,BWBSdk   /112,BWBSdk
966602,BWBSdk   /103,BWBSdk
966592,BWBSdk   /Wf08,BWBSdk
966558,BWBSdk   /104,BWBSdk
9664997,CWH vm 4 /112,CWH vm 4
966398,CWH vm 2 /101,CWH vm 2
966393,CWH vm 2 /101,CWH vm 2
966378,CWH vm 2 /110,CWH vm 2
966376,CWH vm 2 /113,CWH vm 2
966374,CWH vm 2 /111.1,CWH vm 2
966373,CWH vm 2 /101,CWH vm 2
966369,CWH vm 2 /101,CWH vm 2
966368,CWH vm 2 /101,CWH vm 2
966367,CWH vm 2 /101,CWH vm 2
966361,MH  mm 1 /101a,MH  mm 1
966360,MH  mm 1 /101a,MH  mm 1
966359,MH  mm 1 /101a,MH  mm 1
966348,MH  mm 1 /101a,MH  mm 1
966321,CWH vm 2 /101,CWH vm 2
966320,CWH vm 2 /101,CWH vm 2
966318,CWH vm 2 /111.2,CWH vm 2
966315,CWH vm 2 /110,CWH vm 2
966309,MH  mm 1 /103,MH  mm 1
966306,CWH vm 2 /110,CWH vm 2
966305,CWH vm 2 /112.2,CWH vm 2
966302,CWH vm 2 /113,CWH vm 2
966275,MH  mm 1 /101a,MH  mm 1
966273,CWH vm 2 /111.1,CWH vm 2
966255,MH  mm 1 /101a,MH  mm 1
966253,CWH vm 2 /101,CWH vm 2
966250,CWH vm 2 /101,CWH vm 2
966193,BWBSdk   /101,BWBSdk
966123,CWH vm 2 /101,CWH vm 2
966113,MH  mm 1 /103,MH  mm 1
966104,CWH vm 1 /104,CWH vm 1
966102,CWH vm 1 /104,CWH vm 1
966101,CWH vm 1 /104,CWH vm 1
966098,CWH vm 1 /101,CWH vm 1
966097,CWH vm 1 /101,CWH vm 1
966086,CWH vm 2 /113,CWH vm 2
966083,MH  mm 1 /101a,MH  mm 1
966002,CWH vm 2 /101,CWH vm 2
965617,ESSFdcw  /110,ESSFdcw
9654097,BWBSdk   /103,BWBSdk
965288,ESSFdcw  /110,ESSFdcw
965278,ESSFdcw  /101,ESSFdcw
965276,ESSFdcw  /101,ESSFdcw
965201,ESSFwc 3  /101,ESSFwc 3
9651149,BWBSdk   /Wm01,BWBSdk
9651144,BWBSdk   /Wf11,BWBSdk
9651142,BWBSmk   /Wf02,BWBSmk
9651137,BWBSmk   /Wf02,BWBSmk
9651135,BWBSmk   /Wf01,BWBSmk
9651118,BWBSdk   /Fl03,BWBSdk
9650179,BWBSwk 1 /101,BWBSwk 1
9650113,ESSFwc 3  /101,ESSFwc 3
9650102,ESSFwc 3  /101,ESSFwc 3
9650033,MS  dm 1 /102,MS  dm 1
9650001,IDF dm 1 /101,IDF dm 1
964999,CWH vm 3 /101,CWH vm 3
964998,CWH vm 4 /112,CWH vm 4
964592,CWH vh 2 /105,CWH vh 2
964591,CWH vh 2 /101,CWH vh 2
964590,CWH vh 2 /110,CWH vh 2
964588,CWH vh 2 /101,CWH vh 2
964562,CWH vh 2 /101,CWH vh 2
964537,CWH vh 2 /105,CWH vh 2
964514,CWH vh 2 /110,CWH vh 2
964513,CWH vh 2 /104,CWH vh 2
964511,CWH vh 2 /110,CWH vh 2
964509,CWH vm 3 /104,CWH vm 3
964486,ESSFdkw  /101,ESSFdkw
964483,ESSFdkw  /101,ESSFdkw
964482,ESSFdkw  /102,ESSFdkw
964448,MS  dk   /111,MS  dk
964422,MS  dk   /102,MS  dk
964408,ESSFdk 2 /111,ESSFdk 2
964406,ESSFdk 2 /101,ESSFdk 2
964404,ESSFdk 2 /112,ESSFdk 2
964403,ESSFdk 2 /101,ESSFdk 2
964402,ESSFdk 2 /104,ESSFdk 2
964381,IDF xk   /101,IDF xk
964377,IDF xk   /101,IDF xk
964376,MS  dk   /110,MS  dk
964372,IDF dk 5 /101,IDF dk 5
964368,MS  dk   /111,MS  dk
964354,MS  dk   /105,MS  dk
964343,ESSFdk 2 /103,ESSFdk 2
964335,MS  dk   /103,MS  dk
964328,ESSFdk 2 /111,ESSFdk 2
964327,ESSFdk 2 /104,ESSFdk 2
964319,IDF xk   /102,IDF xk
964316,IDF xk   /101,IDF xk
964313,MS  dk   /103,MS  dk
964308,MS  dk   /105,MS  dk
964300,IDF xk   /102,IDF xk
964299,MS  dk   /103,MS  dk
964292,MS  dk   /110,MS  dk
964277,ESSFdk 2 /101,ESSFdk 2
964276,ESSFdk 2 /104,ESSFdk 2
964273,ESSFdk 2 /104,ESSFdk 2
964236,ICH dw 1 /104,ICH dw 1
964235,ICH dw 1 /103,ICH dw 1
964234,ICH dw 1 /104,ICH dw 1
964233,ICH xw   /111,ICH xw
964232,ICH xw   /101,ICH xw
964230,ICH xw   /101,ICH xw
964229,ICH dw 1 /104,ICH dw 1
964228,ICH dw 1 /104,ICH dw 1
964227,ICH dw 1 /103,ICH dw 1
964226,ICH xw  a/104,ICH xw  a
964225,ICH xw   /101,ICH xw
964224,ICH xw   /104,ICH xw
964208,IDF xk   /111,IDF xk
964207,IDF xk   /110,IDF xk
964112,ICH dw 1 /101,ICH dw 1
964110,ICH dw 1 /101,ICH dw 1
964109,ICH dw 1 /102,ICH dw 1
964108,ICH dw 1 /104,ICH dw 1
964098,BWBSdk   /101,BWBSdk
964091,BWBSdk   /110,BWBSdk
964085,BWBSdk   /101,BWBSdk
964083,BWBSdk   /103,BWBSdk
964078,BWBSdk   /103,BWBSdk
964070,SBS vz   /Fm02,SBS vz
964062,SBS vz   /103.1,SBS vz
964061,SBS mz   /101a,SBS mz
964051,SBS mz   /111,SBS mz
964041,CWH wm   /101a,CWH wm
964037,MH  mm 2 /101a,MH  mm 2
964035,CWH wm   /112a,CWH wm
964034,CWH wm   /112a,CWH wm
963744,CWH vm 1 /101,CWH vm 1
963743,CWH vm 1 /110,CWH vm 1
963704,CWH wh 1 /101a,CWH wh 1
963702,CWH wh 1 /101a,CWH wh 1
963697,CWH wh 1 /115,CWH wh 1
963695,MH  wh   /101a,MH  wh
963694,CWH wh 2 /111,CWH wh 2
963693,CWH wh 1 /101a,CWH wh 1
963690,CWH wh 1 /101a,CWH wh 1
963689,CWH wh 2 /101c,CWH wh 2
963688,CWH wh 2 /101c,CWH wh 2
963686,CWH wh 1 /116,CWH wh 1
963685,CWH wh 1 /101a,CWH wh 1
963683,CWH wh 2 /101a,CWH wh 2
963682,CWH wh 2 /111,CWH wh 2
963680,CWH wh 1 /101a,CWH wh 1
963679,CWH wh 1 /115,CWH wh 1
963678,CWH wh 1 /101a,CWH wh 1
963677,CWH wh 1 /102,CWH wh 1
963676,CWH wh 1 /102,CWH wh 1
963669,CWH wh 2 /112,CWH wh 2
963667,CWH wh 1 /105,CWH wh 1
963663,CWH vm 1 /101,CWH vm 1
963662,CWH vm 1 /112.1,CWH vm 1
963650,CWH wh 1 /115,CWH wh 1
963649,CWH wh 1 /110b,CWH wh 1
963647,CWH vm 1 /101,CWH vm 1
963645,CWH vm 1 /111.1,CWH vm 1
963644,CWH vm 1 /105,CWH vm 1
963641,CWH wh 1 /113,CWH wh 1
963636,CWH wh 1 /105,CWH wh 1
963632,CWH vm 1 /112.1,CWH vm 1
963631,CWH vm 1 /112.2,CWH vm 1
963630,CWH vm 1 /101,CWH vm 1
963629,CWH vm 1 /110,CWH vm 1
963628,CWH vm 1 /112.1,CWH vm 1
963626,CWH vm 1 /101,CWH vm 1
963625,CWH vm 1 /102,CWH vm 1
963624,CWH vm 1 /112.2,CWH vm 1
963617,CWH vm 1 /101,CWH vm 1
963615,CWH vm 1 /101,CWH vm 1
963613,CWH vm 1 /110,CWH vm 1
963611,CWH vm 1 /101,CWH vm 1
963607,CWH vm 2 /114,CWH vm 2
963606,CWH vm 2 /110,CWH vm 2
963605,CWH vm 1 /101,CWH vm 1
963603,CWH vm 1 /112.2,CWH vm 1
963599,CWH vm 1 /105,CWH vm 1
963598,CWH vm 1 /101,CWH vm 1
963596,CWH vm 1 /110,CWH vm 1
963594,CWH vm 1 /105,CWH vm 1
963592,CWH vm 1 /110,CWH vm 1
963590,CWH vm 1 /112.1,CWH vm 1
963587,CWH vm 1 /101,CWH vm 1
963584,CWH vm 1 /101,CWH vm 1
963582,CWH vm 1 /110,CWH vm 1
963577,CWH vm 1 /101,CWH vm 1
963570,CWH vm 1 /105,CWH vm 1
963569,CWH vm 1 /110,CWH vm 1
963566,CWH vm 1 /114,CWH vm 1
963564,CWH vm 1 /103,CWH vm 1
963563,CWH vm 1 /105,CWH vm 1
963560,CWH vm 1 /110,CWH vm 1
963559,CWH vm 1 /110,CWH vm 1
9632407,BWBSmk   /Wb03.2,BWBSmk
963085,ESSFxc 2 /112,ESSFxc 2
9629960,MS  dk   /105,MS  dk
9629825,ESSFwc 3  /101,ESSFwc 3
9629816,ESSFwc 3  /101,ESSFwc 3
9629809,ESSFwc 3  /101,ESSFwc 3
9629186,MH  mm 1 /104,MH  mm 1
9629177,CWH vh 1 /105,CWH vh 1
9629176,CWH vm 1 /114,CWH vm 1
9629172,CWH vm 2 /101,CWH vm 2
9629171,CWH vh 1 /101,CWH vh 1
9629169,CWH vh 1 /103,CWH vh 1
9629167,CWH vh 1 /101,CWH vh 1
9629166,CWH vh 1 /105,CWH vh 1
9629162,CWH vm 1 /111.1,CWH vm 1
9629159,CWH vm 1 /105,CWH vm 1
9629158,CWH vh 1 /105,CWH vh 1
9629157,MH  mm 1 /104,MH  mm 1
9629156,CWH vm 2 /105,CWH vm 2
9629155,CWH vm 1 /105,CWH vm 1
9629152,CWH vm 1 /111.2,CWH vm 1
9629151,CWH vm 1 /111.1,CWH vm 1
9629150,CWH vh 1 /101,CWH vh 1
9629149,CWH vh 1 /101,CWH vh 1
9629148,CWH vh 1 /102,CWH vh 1
9629147,CWH vh 1 /101,CWH vh 1
9629146,CWH vm 1 /111.2,CWH vm 1
9629145,CWH vm 1 /103,CWH vm 1
9629144,CWH vm 1 /113,CWH vm 1
9629142,CWH vh 1 /121,CWH vh 1
9629140,CWH vm 1 /110,CWH vm 1
9629137,CWH vh 1 /101,CWH vh 1
9629132,CWH vm 1 /111.2,CWH vm 1
9629130,CWH vm 2 /103,CWH vm 2
9629129,CWH vm 2 /113,CWH vm 2
9629127,CWH vm 1 /101,CWH vm 1
9629125,CWH vh 1 /121,CWH vh 1
9629123,CWH vm 1 /113,CWH vm 1
9629121,CWH vh 1 /111,CWH vh 1
9629117,CWH vm 1 /111.2,CWH vm 1
9629116,CWH vh 1 /101,CWH vh 1
9629114,CWH vh 1 /101,CWH vh 1
9628966,CWH vh 2 /110,CWH vh 2
9628963,CWH vh 2 /110,CWH vh 2
9628962,CWH vh 2 /110,CWH vh 2
9628961,CWH vh 2 /105,CWH vh 2
9628960,CWH vh 2 /110,CWH vh 2
9628959,CWH vh 2 /110,CWH vh 2
9628842,ICH mw 5 /113,ICH mw 5
9628773,BWBSmk   /Ws14,BWBSmk
9628766,BWBSmk   /Fl05,BWBSmk
9628765,BWBSmk   /Ws14,BWBSmk
9628747,BWBSmk   /Wf02,BWBSmk
9628746,BWBSmk   /Ws14,BWBSmk
9628745,BWBSmk   /Wb03.1,BWBSmk
9628744,BWBSmk   /Wb14,BWBSmk
9628743,BWBSmk   /Wb03.1,BWBSmk
9628742,BWBSmk   /Wb06,BWBSmk
9628741,BWBSmk   /Wb14,BWBSmk
9628740,BWBSmk   /Wb03.1,BWBSmk
9628739,BWBSmk   /Ws14,BWBSmk
9628738,BWBSmk   /Wb03.2,BWBSmk
9628737,BWBSmk   /Wb06,BWBSmk
9628736,BWBSmk   /Ws14,BWBSmk
9628735,BWBSmk   /Wm01,BWBSmk
9628734,BWBSmk   /Wb03.2,BWBSmk
9628733,BWBSmk   /Wb03.1,BWBSmk
9628732,BWBSmk   /Wb03.2,BWBSmk
9628708,BWBSmk   /Wf02,BWBSmk
9628707,BWBSdk   /Wb09,BWBSdk
9628706,BWBSdk   /Wf03,BWBSdk
9628705,BWBSmk   /Wm01,BWBSmk
9628704,BWBSdk   /Wf09,BWBSdk
9628703,BWBSmk   /Wm02,BWBSmk
9628702,BWBSmk   /Fl03,BWBSmk
9628701,BWBSmk   /Wb05,BWBSmk
9628700,BWBSdk   /Wf11,BWBSdk
9628699,BWBSmk   /Wm02,BWBSmk
9628698,BWBSmk   /Wf05,BWBSmk
9628697,BWBSdk   /Ws05,BWBSdk
9628696,BWBSdk   /Wf08,BWBSdk
9628695,BWBSdk   /Wf08,BWBSdk
9628694,BWBSmk   /Wf02,BWBSmk
9628693,BWBSmk   /Wf05,BWBSmk
9628692,BWBSdk   /Wf11,BWBSdk
9628691,BWBSdk   /Wf07,BWBSdk
9628684,IDF dk 1 /112,IDF dk 1
9628681,IDF xh 1 /113.2,IDF xh 1
9628586,SBS vz   /101,SBS vz
9628585,SBS vz   /Fm02,SBS vz
9628584,SBS vz   /105,SBS vz
9628583,SBS vz   /Fm02,SBS vz
9628581,BWBSdk   /101,BWBSdk
9628580,BWBSdk   /101,BWBSdk
9628577,BWBSdk   /101,BWBSdk
9628567,BWBSdk   /Wm01,BWBSdk
9628565,SBS vz   /105,SBS vz
9628564,BWBSdk   /103,BWBSdk
9628563,BWBSdk   /103,BWBSdk
9628562,BWBSdk   /101,BWBSdk
9628561,BWBSdk   /112,BWBSdk
9628560,BWBSdk   /Wf14,BWBSdk
9628554,SBS vz   /105,SBS vz
9628553,SBS vz   /101,SBS vz
9628551,BWBSdk   /Ro51,BWBSdk
9628550,BWBSdk   /101,BWBSdk
9628547,SBS vz   /101,SBS vz
9628546,BWBSdk   /101,BWBSdk
9628545,BWBSdk   /101,BWBSdk
9628544,BWBSdk   /101,BWBSdk
9628543,BWBSdk   /101,BWBSdk
9628542,BWBSdk   /101,BWBSdk
9628541,BWBSdk   /102,BWBSdk
9628538,BWBSdk   /112,BWBSdk
9628537,BWBSdk   /Fl01,BWBSdk
9628536,BWBSdk   /112,BWBSdk
9628535,BWBSdk   /Ga02,BWBSdk
9628534,BWBSdk   /Wm01,BWBSdk
9628533,BWBSdk   /102,BWBSdk
9628532,BWBSdk   /111,BWBSdk
9628530,BWBSdk   /101,BWBSdk
9628528,BWBSdk   /111,BWBSdk
9628527,BWBSdk   /Wm01,BWBSdk
9628526,BWBSdk   /Fl03,BWBSdk
9628525,BWBSdk   /101,BWBSdk
9628522,SBS mz   /101a,SBS mz
9628520,BWBSdk   /Wf14,BWBSdk
9628519,BWBSdk   /112,BWBSdk
9628518,BWBSdk   /103,BWBSdk
9628517,BWBSdk   /101,BWBSdk
9628516,SBS mz   /101a,SBS mz
9628515,SBS mz   /101a,SBS mz
9628511,BWBSdk   /101,BWBSdk
9628509,SBS mz   /101a,SBS mz
9628507,SBS mz   /101a,SBS mz
9628504,BWBSdk   /Wm02,BWBSdk
9628503,BWBSdk   /Fl01,BWBSdk
9628501,BWBSdk   /Wm02,BWBSdk
9628393,CWH vm 2 /112.1,CWH vm 2
9628392,CWH vm 2 /114,CWH vm 2
9628390,MH  mm 1 /110,MH  mm 1
9628383,CWH vm 2 /101,CWH vm 2
9628371,CWH vm 2 /101,CWH vm 2
9628358,CWH mm 2 /103,CWH mm 2
9628357,CWH mm 1 /103,CWH mm 1
9628356,CWH mm 1 /103,CWH mm 1
9628348,BWBSmk   /101,BWBSmk
9628347,BWBSmk   /Ws14,BWBSmk
9628346,BWBSmk   /Wb03.1,BWBSmk
9628342,BWBSmk   /Wb03.1,BWBSmk
9628339,BWBSmk   /111,BWBSmk
9628338,BWBSmk   /Wb03.1,BWBSmk
9628337,BWBSmk   /Wf02,BWBSmk
9628335,BWBSmk   /Wb03.2,BWBSmk
9628330,BWBSmk   /Wf18,BWBSmk
9628327,BWBSmk   /101,BWBSmk
9628324,BWBSmk   /101,BWBSmk
9628323,BWBSmk   /Ws15,BWBSmk
9628320,BWBSmk   /Wb03.1,BWBSmk
9628314,BWBSmk   /101,BWBSmk
9628313,BWBSmk   /110,BWBSmk
9628310,BWBSmk   /Ws14,BWBSmk
9628308,BWBSmk   /104,BWBSmk
9628305,BWBSmk   /101,BWBSmk
9628304,BWBSmk   /101,BWBSmk
9628301,BWBSmk   /Wb03.2,BWBSmk
9628300,BWBSmk   /Ws14,BWBSmk
9628299,BWBSmk   /Wm15,BWBSmk
9628298,BWBSmk   /Wm01,BWBSmk
9628296,BWBSmk   /111,BWBSmk
9628295,BWBSmk   /111,BWBSmk
9628293,BWBSmk   /101,BWBSmk
9628291,BWBSmk   /104,BWBSmk
9628290,BWBSmk   /101,BWBSmk
9628287,BWBSmk   /Wb03.1,BWBSmk
9628285,BWBSmk   /Wb03.1,BWBSmk
9628284,BWBSmk   /101,BWBSmk
9628273,BWBSmk   /Wb03.1,BWBSmk
9628264,BWBSmk   /Ws07,BWBSmk
9628260,BWBSmk   /Ws14,BWBSmk
9628149,BWBSmk   /Wm01,BWBSmk
9628146,BWBSmk   /104,BWBSmk
9628145,BWBSmk   /Wm15,BWBSmk
9628144,BWBSmk   /Wb03.1,BWBSmk
9628143,BWBSmk   /101,BWBSmk
9628140,BWBSmk   /Wb06,BWBSmk
9628139,BWBSmk   /Wb03.1,BWBSmk
9628137,BWBSmk   /Wb03.1,BWBSmk
9628132,BWBSmk   /104,BWBSmk
9628131,BWBSmk   /Wb14,BWBSmk
9628130,BWBSmk   /101,BWBSmk
9628129,BWBSmk   /101,BWBSmk
9628128,BWBSmk   /Wm15,BWBSmk
9628126,BWBSmk   /Wm15,BWBSmk
9628124,BWBSmk   /Wb06,BWBSmk
9628120,BWBSmk   /101,BWBSmk
9628118,BWBSmk   /Wf18,BWBSmk
9628117,BWBSmk   /Wb03.2,BWBSmk
9628116,BWBSmk   /Wb03.1,BWBSmk
9628115,BWBSmk   /104,BWBSmk
9628114,BWBSmk   /111,BWBSmk
9628113,BWBSmk   /Wb03.1,BWBSmk
9628112,BWBSmk   /104,BWBSmk
9628100,CWH wh 1 /115,CWH wh 1
9628099,CWH vm 1 /110,CWH vm 1
9628086,CWH vm 2 /110,CWH vm 2
9628075,CWH vm 1 /101,CWH vm 1
9628074,CWH vm 1 /105,CWH vm 1
9628055,CWH wh 1 /118,CWH wh 1
9628052,CWH wh 1 /118,CWH wh 1
9628051,CWH wh 1 /118,CWH wh 1
9628030,CWH wh 1 /115,CWH wh 1
9626989,BWBSdk   /104,BWBSdk
9626987,BWBSdk   /103,BWBSdk
9626984,BWBSdk   /104,BWBSdk
9626983,BWBSdk   /Wb09,BWBSdk
9626932,SWB mk   /02,SWB mk
9626930,SWB mk   /08,SWB mk
9626926,SWB mk   /08,SWB mk
9626917,SWB mk   /08,SWB mk
9626891,BWBSmk   /103,BWBSmk
9626619,BWBSmw   /103,BWBSmw
9626595,SWB mk   /09,SWB mk
9626594,SWB mk   /09,SWB mk
9626592,SWB mk   /08,SWB mk
9626572,SWB mk   /08,SWB mk
9626569,SWB mk   /08,SWB mk
9626552,SWB mk   /08,SWB mk
9626546,SWB mk   /09,SWB mk
9626545,SWB mk   /08,SWB mk
9626542,SWB mk   /08,SWB mk
9626512,SWB mk   /08,SWB mk
9626506,SWB mk   /08,SWB mk
9624693,ESSFwc 3  /103,ESSFwc 3
9624659,ESSFwc 3  /110,ESSFwc 3
9624657,ESSFwc 3  /110,ESSFwc 3
962457,BWBSdk   /110,BWBSdk
9624497,BWBSdk   /102,BWBSdk
9624495,BWBSdk   /Ro51,BWBSdk
9624493,BWBSdk   /Ro51,BWBSdk
9624478,BWBSdk   /110,BWBSdk
9624477,BWBSdk   /104,BWBSdk
9624472,BWBSdk   /102,BWBSdk
9624471,BWBSdk   /104,BWBSdk
9624470,BWBSdk   /104,BWBSdk
9624469,BWBSdk   /Wf02,BWBSdk
962441,BWBSdk   /104,BWBSdk
962440,BWBSdk   /101,BWBSdk
962438,BWBSdk   /104,BWBSdk
9624210,MH  mm 1 /110,MH  mm 1
962418,BWBSdk   /Wb09,BWBSdk
9623986,BWBSmk   /Wb03.1,BWBSmk
9623904,CWH vm 1 /110,CWH vm 1
9623903,CWH vm 1 /112.2,CWH vm 1
9623773,BWBSmk   /110,BWBSmk
9623767,BWBSmk   /112,BWBSmk
9623766,BWBSmk   /Wf18,BWBSmk
9623762,BWBSmk   /101,BWBSmk
962376,BWBSdk   /Ro51,BWBSdk
962369,BWBSdk   /Wb09,BWBSdk
9623683,BWBSmk   /104,BWBSmk
962367,BWBSdk   /Wm01,BWBSdk
962366,BWBSdk   /Wm01,BWBSdk
9623600,BWBSmk   /104,BWBSmk
9622358,CWH vm 2 /101,CWH vm 2
9622351,MH  mm 1 /111,MH  mm 1
9622338,CWH dm 2 /111,CWH dm 2
9622334,MH  mm 1 /111,MH  mm 1
9622329,MH  mm 1 /104,MH  mm 1
9622320,CWH dm 2 /104,CWH dm 2
9622318,CWH mm 1 /101,CWH mm 1
9622310,CWH mm 1 /101,CWH mm 1
9622308,CWH mm 1 /101,CWH mm 1
9622307,CWH dm 2 /104,CWH dm 2
9622306,CWH dm 2 /111,CWH dm 2
9622305,CWH dm 2 /111,CWH dm 2
9622304,CWH dm 2 /104,CWH dm 2
9622302,CWH dm 2 /104,CWH dm 2
9621450,BWBSmk   /110,BWBSmk
9621449,BWBSmk   /101,BWBSmk
9621438,BWBSmk   /101,BWBSmk
9621437,BWBSmk   /112,BWBSmk
9621424,BWBSmk   /Wb06,BWBSmk
9621418,BWBSmk   /Wf02,BWBSmk
9621402,BWBSmk   /Wb09,BWBSmk
9621265,BWBSmk   /112,BWBSmk
9621187,BWBSwk 3 /102,BWBSwk 3
9621145,BWBSmk   /Wb03.1,BWBSmk
9621142,BWBSmk   /Wb03.1,BWBSmk
9621135,BWBSwk 3 /103,BWBSwk 3
9620756,BWBSmk   /110,BWBSmk
9620656,BWBSmk   /Wb03.1,BWBSmk
9620649,BWBSmk   /101,BWBSmk
9620169,CWH vm 1 /102,CWH vm 1
9620161,CWH vm 1 /101,CWH vm 1
9620159,CWH vm 2 /113,CWH vm 2
9620157,CWH vm 1 /110,CWH vm 1
9620154,CWH vm 2 /112.2,CWH vm 2
9620142,CWH vm 1 /101,CWH vm 1
9620141,CWH vm 1 /105,CWH vm 1
9620140,MH  mm 1 /103,MH  mm 1
9620136,CWH vm 2 /101,CWH vm 2
9620135,CWH vm 1 /101,CWH vm 1
9620132,CWH wh 1 /116,CWH wh 1
9620131,MH  mm 1 /110,MH  mm 1
9620130,CWH vm 2 /110,CWH vm 2
9620129,CWH vm 2 /110,CWH vm 2
9620128,CWH vm 2 /110,CWH vm 2
9620126,CWH wh 1 /115,CWH wh 1
9620124,CWH wh 1 /110b,CWH wh 1
9620123,CWH wh 1 /115,CWH wh 1
9620122,CWH wh 1 /110a,CWH wh 1
9620121,CWH wh 1 /112,CWH wh 1
9620120,CWH wh 1 /110a,CWH wh 1
9620118,CWH wh 1 /110b,CWH wh 1
9620116,CWH wh 1 /101a,CWH wh 1
9620114,CWH wh 1 /112,CWH wh 1
9620111,CWH wh 1 /115,CWH wh 1
9620110,CWH wh 2 /112,CWH wh 2
9620052,CWH wh 1 /110b,CWH wh 1
9620051,CWH wh 2 /101b,CWH wh 2
9620049,CWH wh 1 /115,CWH wh 1
9620042,MH  mm 1 /110,MH  mm 1
9620040,CWH vm 1 /101,CWH vm 1
9620035,MH  mm 1 /110,MH  mm 1
9620034,CWH vm 1 /101,CWH vm 1
9620033,CWH vm 1 /110,CWH vm 1
9620032,CWH vm 2 /101,CWH vm 2
9620029,CWH wh 1 /111a,CWH wh 1
9620026,CWH wh 2 /111,CWH wh 2
9620021,CWH vm 1 /101,CWH vm 1
9620017,CWH vm 1 /105,CWH vm 1
9619873,BWBSdk   /102,BWBSdk
9619870,BWBSdk   /103,BWBSdk
9619072,CWH vh 3 /101a,CWH vh 3
9618659,MH  mm 1 /101a,MH  mm 1
9618649,CWH vm 4 /101,CWH vm 4
9618646,CWH vm 4 /112,CWH vm 4
9618638,CWH wh 1 /111a,CWH wh 1
9618637,CWH wh 1 /111a,CWH wh 1
9618636,CWH wh 1 /111a,CWH wh 1
9618635,CWH wh 2 /113,CWH wh 2
9618632,CWH wh 1 /113,CWH wh 1
9618631,CWH wh 1 /115,CWH wh 1
9618630,CWH wh 1 /101a,CWH wh 1
9618626,CWH wh 2 /111,CWH wh 2
9618625,MH  wh   /111,MH  wh
9618624,CWH wh 2 /110,CWH wh 2
9618623,CWH wh 2 /111,CWH wh 2
9618619,CWH wh 1 /115,CWH wh 1
9618612,CWH wh 1 /115,CWH wh 1
9617304,CWH ws 2 /113,CWH ws 2
9617303,CWH ws 2 /112,CWH ws 2
9617267,MH  mm 1 /111,MH  mm 1
9617264,MH  mm 1 /112,MH  mm 1
9617263,CWH ws 2 /113,CWH ws 2
9617261,MH  mm 1 /112,MH  mm 1
9617260,CWH vm 3 /101,CWH vm 3
9617259,CWH vm 3 /101,CWH vm 3
9617257,CWH ws 2 /112,CWH ws 2
9617256,MH  mm 1 /112,MH  mm 1
9617053,ESSFwc 3  /103,ESSFwc 3
9617036,ESSFwc 3  /101,ESSFwc 3
9617034,ESSFwc 3  /110,ESSFwc 3
9617030,ESSFwc 3  /101,ESSFwc 3
9617029,ESSFwc 3  /101,ESSFwc 3
9616092,MS  dk   /105,MS  dk
9616086,MS  dk   /110,MS  dk
9616071,MS  dk   /103,MS  dk
9616069,MS  dk   /105,MS  dk
9616065,MS  dk   /110,MS  dk
9616062,ESSFdk 2 /104,ESSFdk 2
9616048,MS  dk   /103,MS  dk
9616046,MS  dk   /103,MS  dk
9616045,MS  dk   /103,MS  dk
9616039,IDF dk 5 /101,IDF dk 5
9616038,IDF dk 5 /101,IDF dk 5
9616037,MS  dk   /101,MS  dk
9616029,MS  dk   /105,MS  dk
9616028,MS  dk   /105,MS  dk
9616026,MS  dk   /105,MS  dk
9616024,IDF dk 5 /101,IDF dk 5
9616021,IDF dk 5 /110,IDF dk 5
9616015,ESSFdkw  /101,ESSFdkw
9615453,SWB mk   /08,SWB mk
9615448,BWBSdk   /102,BWBSdk
9615440,BWBSdk   /104,BWBSdk
9615334,BWBSdk   /103,BWBSdk
9615245,ESSFwc 3  /101,ESSFwc 3
9615192,ESSFwc 3  /101,ESSFwc 3
9615161,ESSFwc 3  /103,ESSFwc 3
9615093,ESSFwc 3  /101,ESSFwc 3
9615054,ESSFwc 3  /103,ESSFwc 3
9615010,ESSFwc 3  /103,ESSFwc 3
9614514,CWH vm 1 /110,CWH vm 1
9614513,MH  mm 1 /110,MH  mm 1
9614511,CWH vm 2 /113,CWH vm 2
9614510,MH  mm 1 /101a,MH  mm 1
9614458,CWH vm 1 /112.2,CWH vm 1
9614457,CWH vm 1 /110,CWH vm 1
9614455,CWH vm 1 /105,CWH vm 1
9614454,CWH vm 1 /105,CWH vm 1
9614453,CWH vm 1 /110,CWH vm 1
9614447,CWH vm 1 /110,CWH vm 1
9614446,CWH vm 1 /101,CWH vm 1
9614404,CWH vm 1 /110,CWH vm 1
9614401,CWH vm 1 /114,CWH vm 1
9614400,MH  mm 1 /101a,MH  mm 1
9614399,CWH vm 2 /113,CWH vm 2
9614398,CWH vm 1 /101,CWH vm 1
9614397,MH  mm 1 /103,MH  mm 1
9614393,CWH vm 4 /110,CWH vm 4
9614392,CWH vm 4 /110,CWH vm 4
9614390,CWH vm 4 /110,CWH vm 4
9614388,MH  mm 1 /101a,MH  mm 1
9614354,CWH wh 1 /115,CWH wh 1
9614353,CWH wh 1 /116,CWH wh 1
9614351,CWH wh 1 /102,CWH wh 1
9614345,CWH wh 2 /101a,CWH wh 2
