"","spp","SS_NoSpace","newfeas","abund"
"341","Se","ICHxw/111","4",1.66666666666667
"342","Se","IDFdh/111","4",18.5
"343","Se","IDFdk1/101","4",0.923076923076923
"344","Se","IDFdk1/111","4",29
"345","Se","IDFdk2/101","4",0.617647058823529
"346","Se","IDFdk2/110","4",22.4375
"347","Se","IDFdk2/111","4",19
"348","Se","IDFdk5/101","4",1.3
"349","Se","IDFdk5/110","4",25
"350","Se","IDFdm1/101","4",1.68181818181818
"351","Se","IDFxh2/101","4",0.0769230769230769
"352","Se","IDFxh2/111","4",0.5
"353","Se","IDFxk/112","4",11.0833333333333
"354","Se","IDFxx2/112","4",35
"355","Se","SBPSmc/01","4",12.0869565217391
"356","Se","SBPSmc/02","4",0.344444444610013
"357","Se","SBPSmc/03","4",5.66666666666667
"358","Se","SBPSmc/04","4",10
"359","Se","SBPSmc/05","4",38.6666666666667
"360","Se","SBPSmc/06","4",38.75
"361","Se","SBSdh1/01","4",12.9666666666667
"362","Se","SBSdh1/06","4",18.5555555555556
"363","Se","SBSdk/01","4",33.1333333333333
"364","Se","SBSdk/05","4",35.1428571428571
"365","Se","SBSdk/06","4",36.625
"366","Se","SBSdk/07","4",36.5
"367","Se","SBSdw3/01","4",12.78125
"368","Se","SBSdw3/04","4",8.7
"369","Se","SBSdw3/05","4",1.5
"370","Se","SBSdw3/06","4",35
"371","Se","SBSdw3/07","4",37.1666666666667
"372","Se","SBSdw3/08","4",41
"373","Se","SBSmc2/01","4",13.9365079365079
"374","Se","SBSmc2/02","4",2.2
"375","Se","SBSmc2/03","4",10.6666666666667
"376","Se","SBSmc2/05","4",21.4583333333333
"377","Se","SBSmc2/06","4",20.4285714285714
"378","Se","SBSmc2/09","4",23.2777777777778
"379","Se","SBSmc2/10","4",27.3333333333333
"380","Se","SBSmh/01","4",4.43999996185303
"381","Se","SBSmh/04","4",1
"382","Se","SBSmh/05","4",15.75
"383","Se","SBSmh/06","4",16
"384","Se","SBSmh/07","4",8.33333333333333
"385","Se","SBSmk1/01","4",19.5384615384615
"386","Se","SBSmk1/02","4",5.5
"387","Se","SBSmk1/03","4",1
"388","Se","SBSmk1/04","4",5.16666666666667
"389","Se","SBSmk1/05","4",3
"390","Se","SBSmk1/06","4",6.8
"391","Se","SBSmk1/07","4",14
"392","Se","SBSmk1/08","4",29.4
"393","Se","SBSmk1/09","4",32.3333333333333
"394","Se","SBSmk2/01","4",18.8181818181818
"395","Se","SBSmk2/03","4",8.875
"396","Se","SBSmk2/04","4",1
"397","Se","SBSmk2/05","4",14.1428571428571
"398","Se","SBSmk2/06","4",13
"399","Se","SBSmw/01","4",10.4764705883229
"400","Se","SBSmw/02","4",5
"401","Se","SBSmw/03","4",4.72857143197741
"402","Se","SBSmw/06","4",30.6666666666667
"403","Se","SBSmw/07","4",40.6
"404","Se","SBSmw/08","4",26.75
"405","Se","SBSmw/09","4",25
"406","Se","SBSvk/01","4",18.6666666666667
"407","Se","SBSvk/02","4",1
"408","Se","SBSvk/03","4",4.66666666666667
"409","Se","SBSvk/04","4",15
"410","Se","SBSvk/05","4",22
"411","Se","SBSvk/06","4",13
"412","Se","SBSvk/07","4",20
"413","Se","SBSwk1/01","4",24.7434782774552
"414","Se","SBSwk1/02","4",5
"415","Se","SBSwk1/03","4",1.86363636363636
"416","Se","SBSwk1/05","4",3.2
"417","Se","SBSwk1/06","4",12.4357142789023
"418","Se","SBSwk1/07","4",30.7750000953674
"419","Se","SBSwk1/08","4",19.610000038147
"420","Se","SBSwk1/09","4",21
"421","Se","SBSwk1/10","4",35
"422","Se","SBSwk1/11","4",40
"423","Se","SBSwk2/01","4",29
"424","Se","SBSwk2/03","4",15
"425","Se","SBSwk2/04","4",13
"426","Se","SBSwk2/05","4",19.4444444444444
"427","Se","SBSwk2/06","4",10
"428","Se","SBSwk3/01","4",22
"429","Se","SBSwk3/02","4",1.5
"430","Se","SBSwk3/03","4",19.2
"431","Se","SBSwk3/05","4",24.2857142857143
"432","Se","SBSwk3/06","4",17
"433","Ss","CWHvh3/103.1","4",11.8
"434","Ss","CWHvh3/103.2","4",17
